GEOID,Name,Median_Hhold._Income_of_Residents_in_2012-16,Population_Density_in_2010,Poverty_Rate_in_2012-16,Total Population,Population 18 and Older,Population Under 18,White Alone,Black Alone,Asian Alone,Other Race Alone,Multi-Race,Hispanic,"White Alone, Non-Hispanic",Total Minority Population,Total Housing Units,Occupied Housing Units,Vacant Housing Units
18097340110,"Aspen Ridge, Indianapolis, IN",37717,6748,0.1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097340111,"Wayne, Indianapolis, IN",65276,2039,0.1082,3870,2916,954,1680,1542,62,282,304,434,1639,2231,1110,1085,25
18097340112,"Wayne, Indianapolis, IN",41078,3793,0.2098,5108,4225,883,2401,2048,53,200,406,422,2307,2801,2971,2777,194
18097340114,"Wayne, Indianapolis, IN",70301,2731,0.0572,4440,3435,1005,2938,928,54,210,310,387,2886,1554,1804,1756,48
18097340201,"Indianapolis, IN",38724,4222,0.3647,3676,2503,1173,958,1030,64,1271,353,1697,781,2895,1202,1150,52
18097340202,"Speedway, IN",33956,4347,0.2332,4830,3508,1322,2022,1772,167,494,375,729,1927,2903,2196,2056,140
18097340300,"Eagledale, Indianapolis, IN",28682,5995,0.4267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097340400,"Eagledale, Indianapolis, IN",36344,4806,0.2048,4024,2756,1268,873,942,39,1696,474,2179,707,3317,1422,1324,98
18097340500,"Venerable Flackville, Indianapolis, IN",31143,3001,0.2419,4932,3986,946,1537,2783,86,298,228,416,1473,3459,2050,1849,201
18097340600,"Indianapolis, IN",30452,3308,0.2559,5274,3945,1329,1161,2668,71,988,386,1313,1060,4214,2243,2041,202
18097340700,"Indianapolis, IN",28709,2037,0.4985,4219,2911,1308,1232,1153,22,1448,364,1851,1045,3174,1552,1430,122
18097340800,"Speedway, IN",51983,3398,0.1867,1751,1429,322,1448,46,108,39,110,77,1420,331,866,793,73
18097340901,"Wayne, Indianapolis, IN",61853,2667,0.0947,4034,3002,1032,2074,1107,69,370,414,688,1964,2070,1473,1421,52
18097340902,"Speedway, IN",35712,4856,0.2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097350100,"Indianapolis, IN",26000,2083,0.2907,1390,1093,297,222,929,20,117,102,164,202,1188,773,611,162
18097350300,"Crown Hill, Indianapolis, IN",16623,7535,0.4456,2511,2039,472,621,1556,10,112,212,193,592,1919,1698,1418,280
18097350400,"Mapleton - Fall Creek, Indianapolis, IN",34317,4839,0.2668,2490,2021,469,846,1300,21,67,256,187,826,1664,1309,1103,206
18097350500,"Indianapolis, IN",20807,3462,0.378,2395,1713,682,154,1922,2,180,137,280,109,2286,1156,963,193
18097350600,"Devington, Indianapolis, IN",26746,4968,0.3321,4406,3441,965,312,3479,14,340,261,508,246,4160,2205,1851,354
18097350700,"Indianapolis, IN",22419,2311,0.3872,1566,1171,395,138,1083,2,193,150,292,103,1463,754,622,132
18097350800,"Indianapolis, IN",15163,3745,0.5701,2375,1520,855,140,1949,3,135,148,197,121,2254,1101,906,195
18097350900,"Mapleton - Fall Creek, Indianapolis, IN",33544,4649,0.2423,1687,1182,505,510,1011,10,42,114,102,468,1219,796,633,163
